id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,bvr,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,nmass.chl,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,cmass.chl,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.marea,chlA.mmolg,chlB.mmolg,chl.mmolg,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,tleaf_wk6,anet_wk6,gsw_wk6,ci.ca_wk6,vcmax25_wk6,jmax25_wk6,jmax25.vcmax25_wk6,rd25_wk6,tpu_wk6,leaf.d13c,leaf.d15n,ref.15n,ndfa,chi,chi.assume,beta,marea,marea.chl,narea,narea.chl,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,narea.chi,vcmax.chi,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost
e_y_70_11,elv,inoc,70,11,6/17/22,3t,6/22/22,7/2/22,8/6/22,27.2,418.68,0.169,2.415,0.135,1.023,1.511,0.352,5.436,0.906,0.0249,0.0591,0.0229,0.013,0.0148,0.0201,0.4251,0.4635,0.4319,0.4241,0.42,0.4291,1.677,0.3845,1.68E-06,3.84E-07,1.68E-05,3.84E-06,0.054098226,0.012403065,0.060545742,0.013667741,65.53398058,9.24E-04,2.09E-04,0.001132443,0.074213482,4.361682207,3.1,20.6,25.018,23.507,35.24,0.369,0.346,0.699,108.414,204.846,1.889,2.061,12.138,27.254,16.988,0.263,0.705,77.484,148.346,1.915,2.061,10.105,-25.47,4.79,28.28,80.29396684,0.691802168,0.598521693,207.1232878,62.1324,65.534,1.5459,1.6305,0.5474,0.1054,0.0166,0.6693,0.0714,212.8909,319.1507,63.7046,101.8497,2.2345,156.7124,0.3036,0.0629,0.0151,0.0196,0.6408,0.0208,0.1632,0.1184,0.8039,6.7907
e_y_70_12,elv,inoc,70,12,6/17/22,5b,6/22/22,7/2/22,8/6/22,26,436.21,0.172,2.605,0.163,1.066,1.823,0.382,6.039,1.007,0.0239,0.0653,0.0222,0.014,0.0146,0.0212,0.4243,0.4538,0.456,0.4187,0.4228,0.4344,2.5461,0.4183,2.55E-06,4.18E-07,2.55E-05,4.18E-06,0.082132258,0.013494194,0.091920916,0.014870126,72.12389381,0.001274486,2.06E-04,0.001480661,0.106791043,6.086488812,3.1,22.6,25.002,17.787,28.24,0.285,0.301,0.712,86.626,164.628,1.9,3.441,10.383,27.497,19.308,0.214,0.598,112.373,198.543,1.767,3.441,12.774,-25.48,4.64,28.28,80.80669971,0.692265311,0.598983879,208.0267773,66.1538,72.1239,1.5784,1.7209,0.4283,0.083,0.0226,0.5339,0.0763,157.763,250.4766,62.4105,93.8206,2.2801,125.1341,0.2935,0.0657,0.0156,0.0255,0.7633,0.0249,0.1733,0.1318,0.9366,7.1085
e_y_105_13,elv,inoc,105,13,6/17/22,4b,6/21/22,7/2/22,8/6/22,29.8,617.39,0.192,3.495,0.164,1.419,2.126,0.494,7.698,1.283,0.0257,0.059,0.0221,0.0142,0.0158,0.0239,0.4295,0.4477,0.413,0.428,0.4093,0.4276,2.709,0.5862,2.71E-06,5.86E-07,2.71E-05,5.86E-06,0.087387634,0.018909785,0.097802637,0.020837917,61.42322097,0.001592275,3.39E-04,0.001931526,0.118640555,4.621291816,3.1,26.7,25.011,23.015,33.365,0.328,0.322,0.673,106.766,197.329,1.848,1.538,11.508,27.055,38.844,0.721,0.737,82.238,166.952,2.03,1.538,11.644,-25.77,5.65,33.72,80.90502954,0.705700615,0.612391415,236.4109617,64.4295,61.4232,1.6546,1.5773,0.5036,0.0949,0.0274,0.6258,0.0702,194.7417,282.3184,70.1677,103.618,2.3445,151.2908,0.3177,0.0865,0.0224,0.0301,0.9099,0.0292,0.2212,0.1682,1.1311,6.7258
e_y_105_14,elv,inoc,105,14,6/17/22,6t,6/23/22,7/2/22,8/6/22,27.4,539.02,0.171,3.155,0.137,1.525,2.39,0.399,7.606,1.268,0.0219,0.0587,0.0225,0.016,0.0137,0.0204,0.4231,0.45,0.4326,0.4164,0.409,0.4224,2.3032,0.736,2.30E-06,7.36E-07,2.30E-05,7.36E-06,0.076774,0.024533,0.085924052,0.027034503,62.27272727,0.001379802,4.34E-04,0.001813933,0.112958555,3.129417519,3,22,28.851,19.441,34.753,0.305,0.277,0.705,95.228,172.043,1.807,3.506,12.724,27.095,14.744,0.217,0.694,84.936,157.423,1.853,5.617,10.881,-24.91,11.67,33.72,63.5538262,0.665881282,0.572654378,163.2134647,62.4088,62.2727,1.3668,1.3638,0.5438,0.1001,0.0301,0.674,0.0813,199.1393,355.9842,63.741,125.4621,2.0525,143.0105,0.3045,0.0776,0.0209,0.0381,0.9951,0.0234,0.1796,0.1601,1.1746,7.3368
e_y_105_15,elv,inoc,105,15,6/17/22,1t,6/22/22,7/2/22,8/6/22,25.6,558.64,0.165,2.966,0.143,1.48,2.442,0.345,7.376,1.229,0.0215,0.0563,0.025,0.0134,0.0147,0.0225,0.418,0.4563,0.4342,0.4314,0.4073,0.4291,2.1536,0.5077,2.15E-06,5.08E-07,2.15E-05,5.08E-06,0.071785556,0.016923111,0.080341077,0.018648673,63.55555556,0.001264108,2.93E-04,0.001557531,0.09898975,4.241865168,3,22.5,25.003,18.912,29.083,0.295,0.305,0.704,88.631,169.443,1.912,2.34,10.376,26.914,20.712,0.29,0.668,100.635,195.75,1.945,2.34,12.634,-24.49,7.55,33.72,75.42873613,0.646460147,0.553273382,137.3542871,64.4531,63.5556,1.3877,1.3684,0.4985,0.0971,0.0263,0.6219,0.0837,190.7996,293.4129,64.1085,95.3541,2.1466,137.102,0.298,0.0808,0.0217,0.0328,1.0536,0.0194,0.1574,0.1547,1.211,7.8291
e_y_105_16,elv,inoc,105,16,6/17/22,1b,6/23/22,7/2/22,8/6/22,30.4,468.37,0.191,2.469,0.178,0.985,1.553,0.43,5.615,0.936,0.022,0.0591,0.0258,0.0152,0.0141,0.0239,0.4219,0.447,0.4386,0.4229,0.3989,0.4339,2.3492,0.4428,2.35E-06,4.43E-07,2.35E-05,4.43E-06,0.078307333,0.014759667,0.087640131,0.016264633,66.91729323,0.001309678,2.43E-04,0.001552734,0.103904764,5.305494704,3,26.6,25.002,21.07,30.841,0.382,0.394,0.736,97.007,181.266,1.869,2.909,11.091,26.973,17.029,0.362,0.775,73.956,133.048,1.799,2.909,8.828,-25.45,7.66,33.72,75.11168756,0.690875909,0.597597348,205.3303404,62.8289,66.9173,1.3841,1.4742,0.547,0.1042,0.0256,0.6768,0.081,213.1171,311.948,55.1571,78.2766,2.0034,140.4116,0.2769,0.0719,0.0139,0.0236,0.6567,0.0254,0.1922,0.1348,0.849,6.2992
e_y_140_17,elv,inoc,140,17,6/17/22,2t,6/23/22,7/2/22,8/6/22,20.8,524.18,0.111,2.96,0.104,1.594,2.158,0.335,7.151,1.192,0.0219,0.0586,0.0216,0.0154,0.0099,0.0244,0.4211,0.4387,0.4256,0.4296,0.3565,0.4322,1.6938,0,1.69E-06,0,1.69E-05,0,0.056461167,0,0.063190302,0,55.31914894,0.001142286,0,0.001142286,0.063190302,Inf,3,18.8,25.008,15.907,21.728,0.324,0.349,0.767,70.269,130.732,1.86,2.293,7.915,27.013,10.706,0.149,0.679,55.693,114.531,2.056,2.293,8.445,-25.06,13.23,34.0975,59.49818234,0.672821456,0.579580209,173.7953468,53.3654,55.3191,1.1687,1.2115,0.4693,0.089,0.019,0.5772,0.0765,190.5516,260.2819,49.0957,62.2579,1.737,104.4393,0.2396,0.0685,0.0157,0.0333,0.9271,0.0196,0.147,0.1371,1.074,7.832
e_y_140_18,elv,inoc,140,18,6/17/22,2b,6/22/22,7/2/22,8/6/22,27.3,488.21,0.165,2.697,0.136,1.229,1.833,0.351,6.246,1.041,0.0249,0.0575,0.0214,0.0143,0.0139,0.0256,0.4204,0.4556,0.44,0.4179,0.4281,0.4366,1.5432,0,1.54E-06,0,1.54E-05,0,0.051440778,0,0.057571575,0,55.73770492,0.001032902,0,0.001032902,0.057571575,Inf,3,24.4,24.997,17.449,30.572,0.254,0.265,0.688,79.587,165.036,2.074,1.198,10.418,26.952,14.22,0.188,0.667,67.206,133.889,1.992,1.198,9.506,-24.55,8.46,34.0975,73.09858151,0.649233571,0.556041074,140.7408531,60.4396,55.7377,1.5037,1.3868,0.4131,0.0873,0.0151,0.5155,0.0706,162.4527,284.6297,68.6969,115.366,2.3162,122.5861,0.3046,0.0651,0.0171,0.0262,0.766,0.0202,0.1599,0.1286,0.9259,7.201
e_y_140_19,elv,inoc,140,19,6/17/22,4t,6/23/22,7/2/22,8/6/22,31.8,598.56,0.268,3.685,0.152,1.389,1.902,0.518,7.646,1.274,0.0168,0.0588,0.0238,0.0162,0.0171,0.0221,0.4143,0.442,0.4436,0.4304,0.4115,0.4326,1.5728,0.2286,1.57E-06,2.29E-07,1.57E-05,2.29E-06,0.052427222,0.007618444,0.058675585,0.008395258,59.60784314,9.84E-04,1.41E-04,0.001125202,0.067070843,6.881617711,3,25.5,25.003,22.915,33.711,0.37,0.367,0.706,108.413,200.046,1.845,3.009,12.162,27.526,20.958,0.311,0.687,101.468,186.696,1.84,3.009,12.353,-25.29,14.87,34.0975,54.82215411,0.683467206,0.590203957,191.6337456,84.2767,59.6078,1.4133,0.9996,0.5987,0.1126,0.0244,0.7357,0.1193,226.9902,333.9327,61.9324,91.8556,2.0679,158.6221,0.3015,0.0946,0.0237,0.0307,0.8186,0.0305,0.229,0.1795,1.0475,5.8346
e_y_140_20,elv,inoc,140,20,6/17/22,1t,6/23/22,7/2/22,8/6/22,27.6,707.2,0.19,4.124,0.18,1.893,2.678,0.548,9.423,1.571,0.024,0.0578,0.0263,0.0156,0.0157,0.0224,0.421,0.4528,0.4356,0.4409,0.4197,0.4351,2.0091,0.2703,2.01E-06,2.70E-07,2.01E-05,2.70E-06,0.066970889,0.009009778,0.07495259,0.009928458,68.44106464,0.001095141,1.45E-04,0.001240206,0.084881048,7.433134373,3,26.3,25.005,19.197,30.657,0.274,0.225,0.678,96.5,176.805,1.832,3.136,11.334,27.011,21.675,0.341,0.701,102.069,198.162,1.941,3.136,13.214,-25.16,10.18,34.0975,68.19445434,0.677449426,0.584198614,181.2988917,68.8406,68.4411,1.6515,1.6419,0.4561,0.0851,0.0188,0.56,0.0771,162.7371,259.886,70.062,136.2533,2.4378,142.4461,0.3321,0.1173,0.0298,0.0419,1.1807,0.0317,0.2481,0.2206,1.4288,6.4781
e_y_210_21,elv,inoc,210,21,6/17/22,3t,6/23/22,7/2/22,8/6/22,20.4,558.26,0.105,3.418,0.117,1.514,2.361,0.296,7.706,1.284,0.029,0.0598,0.0216,0.0108,0.0122,0.0258,0.4237,0.4383,0.447,0.4255,0.4158,0.4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.91705069,NA,NA,NA,NA,NA,3,21.7,25.006,17.225,26.391,0.317,0.321,0.746,73.236,142.798,1.95,1.55,9.364,27.099,17.806,0.255,0.683,72.961,147.051,2.015,1.55,10.198,-25.31,18.15,34.23666667,45.68561556,0.684393161,0.591127998,193.2850201,51.4706,53.9171,1.4942,1.5652,0.3825,0.076,NA,NA,0.0569,161.3917,247.2736,54.3375,82.215,2.1832,107.0087,0.2393,0.0801,0.0184,0.0255,1.0046,0.0177,0.1297,0.1417,1.1343,8.0033
e_y_210_22,elv,inoc,210,22,6/17/22,6t,6/22/22,7/2/22,8/6/22,24.9,602.93,0.148,3.702,0.141,2.369,4.414,0.257,10.883,1.814,0.0185,0.0554,0.0192,0.0118,0.011,0.0165,0.4201,0.4548,0.446,0.4068,0.4119,0.4251,1.7601,0.3858,1.76E-06,3.86E-07,1.76E-05,3.86E-06,0.058670444,0.012859889,0.065662885,0.014171145,66.82464455,9.83E-04,2.12E-04,0.001194679,0.07983403,4.562282377,3,21.1,25.008,15.085,22.647,0.274,0.282,0.746,68.667,134.047,1.952,2.545,8.514,26.959,17.006,0.285,0.724,77.598,153.189,1.974,2.545,10.829,-24.97,19.68,34.23666667,41.34046481,0.668657095,0.575424455,167.3529249,59.4378,66.8246,1.0972,1.2336,0.4885,0.0972,0.0235,0.6091,0.0946,192.4772,288.9646,55.0547,80.3085,1.6409,102.6939,0.251,0.0763,0.026,0.0522,1.7955,0.0142,0.1169,0.1688,1.9124,11.3301
e_y_210_23,elv,inoc,210,23,6/17/22,1t,6/23/22,7/2/22,8/6/22,23.4,623.22,0.129,3.688,0.104,1.828,2.536,0.177,8.333,1.389,0.0255,0.0549,0.0191,0.0137,0.0101,0.0219,0.4221,0.4501,0.4264,0.4557,0.409,0.4222,1.5699,0,1.57E-06,0,1.57E-05,0,0.050640806,0,0.056676262,0,50.98039216,0.001111727,0,0.001111727,0.056676262,Inf,3.1,20.4,25.006,19.428,27.934,0.371,0.35,0.75,84.625,164.609,1.945,1.941,9.909,27.101,17.352,0.272,0.708,79.265,158.704,2.002,1.941,11.069,-24.55,19.79,34.23666667,41.02806835,0.649233571,0.556041074,140.7408531,55.1282,50.9804,1.4074,1.3015,0.4693,0.093,0.0158,0.5781,0.0664,193.2553,277.8667,52.3666,79.8114,2.1678,130.346,0.2532,0.0764,0.0185,0.0346,1.1557,0.0097,0.0797,0.1392,1.2353,8.8723
e_y_210_24,elv,inoc,210,24,6/17/22,2t,6/22/22,7/2/22,8/6/22,24.9,778.54,0.153,4.77,0.118,2.587,3.64,0.278,11.393,1.899,0.0206,0.0572,0.02,0.0142,0.0101,0.0189,0.4227,0.4296,0.4414,0.4566,0.3535,0.4202,1.7206,1.4819,1.72E-06,1.48E-06,1.72E-05,1.48E-05,0.057354333,0.049395667,0.064189918,0.054432286,52.67857143,0.00121852,0.001033291,0.002251811,0.118622204,1.161120746,3,22.4,24.991,15.039,22.154,0.274,0.288,0.746,69.622,130.373,1.873,2.773,8.191,26.855,20.316,0.359,0.729,92.103,176.249,1.914,2.773,11.52,-24.85,20.06,34.23666667,40.26127704,0.66310581,0.569884642,159.193269,61.4458,52.6786,1.2664,1.0857,0.4291,0.0819,0.0397,0.5507,0.0858,166.2558,244.912,54.8869,76.9236,1.9098,104.9938,0.2565,0.1007,0.0261,0.0517,1.6619,0.0159,0.1194,0.1944,1.7813,9.1615
e_y_280_25,elv,inoc,280,25,6/17/22,1b,6/22/22,7/2/22,8/6/22,31.9,747.99,0.261,4.852,0.193,2.592,3.295,0.239,11.171,1.862,0.0215,0.0585,0.0197,0.0148,0.0126,0.0213,0.4269,0.4523,0.4383,0.4436,0.4132,0.4375,3.3763,2.3161,3.38E-06,2.32E-06,3.38E-05,2.32E-05,0.112544111,0.077203222,0.125957304,0.085075234,76.58730159,0.001644624,0.001110827,0.002755451,0.211032538,1.457764428,3,25.2,25.006,16.434,29.419,0.195,0.186,0.628,90.278,171.66,1.901,3.475,11.007,26.146,19.071,0.325,0.728,90.115,176.522,1.959,3.475,11.652,-23.2,16.71,28.1,39.17454858,0.586913945,0.493850246,82.84303773,81.8182,76.5873,1.7624,1.6497,0.3998,0.0775,0.0465,0.5238,0.0918,130.5497,233.7009,84.2769,158.1667,3.0028,153.8181,0.3763,0.1053,0.0326,0.0489,1.4617,0.014,0.1081,0.2008,1.5698,7.8195
e_y_280_26,elv,inoc,280,26,6/17/22,1b,6/23/22,7/2/22,8/6/22,22.2,851.11,0.139,5.626,0.162,3.146,4.421,0.204,13.559,2.26,0.022,0.0557,0.0195,0.0146,0.0111,0.0189,0.4223,0.4498,0.4386,0.4517,0.4222,0.4304,1.8662,0.9882,1.87E-06,9.88E-07,1.87E-05,9.88E-06,0.062207333,0.032938667,0.069621306,0.036297251,62.54826255,0.001113081,5.80E-04,0.001693389,0.105918558,1.888580797,3,25.9,25.003,14.629,23.871,0.245,0.245,0.728,72.988,137.935,1.89,3.683,9.284,26.511,21.152,0.366,0.725,100.224,195.321,1.949,3.683,12.314,-23.86,18.77,28.1,32.0894239,0.617359782,0.524233159,106.8865694,62.6126,62.5483,1.375,1.3736,0.4143,0.0798,0.028,0.5221,0.0812,148.9527,243.055,59.7102,97.4327,2.2272,118.226,0.2839,0.1162,0.035,0.0644,1.9968,0.0114,0.0918,0.2269,2.0886,9.2043
