CO2,replication,nitrogen/ppm,species,tree ID,A400,A at treatment CO2,Ci at treatment CO2,gs at treatment CO2,E at treatment CO2,WUE at treatment CO2,Vcmax,Jmax,Rd,root mass(g),stem mass(g),leaf mass(g),leaf+petiole(g),shoot mass,total mass,leaf.area(cm2),height(cm),RCD(mm),SLAcm2/g,shoot/root,Nitrogen（%）,N(g/m2),N（mg/g）
elevated,2,290,white birch,b3t5-10,13.2,20.7333333333333,605.333333333333,438.666666666667,5.61,3.69578134284016,69.65072,133.2698,1.44206,4.235,5.096,5.241,5.506,10.602,14.837,1437.8705,73.2,9.12,274.350410227056,2.50342384887839,2.74,0.998722763976311,27.4
elevated,2,290,white birch,b3t5-11,14.2,22.1,567.666666666667,292.666666666667,3.79,5.8311345646438,61.5757,158.9076,2.279712,4.372,5.146,5.184,5.474,10.62,14.992,1507.5973,88,9.3,290.817380401235,2.42909423604758,2.83,0.973119280593034,28.3
elevated,2,290,white birch,b3t5-12,15.3666666666667,23.2666666666667,610.666666666667,547,5.636667,4.12773482390688,81.65498,156.5189,1.732205,4.056,5.049,5.316,5.608,10.657,14.713,1483.9988,87.5,7.68,279.157035364936,2.62746548323471,2.76,0.98869082643463,27.6
elevated,2,290,white birch,3b-t5-01,,,,,,,,,,4.067,3.843,4.647,4.969,8.812,12.879,1282.9886,67.5,8.67,276.089649236066,2.16670764691419,,,
elevated,2,290,white birch,3b-t5-05,,,,,,,,,,4.071,3.994,5.234,5.474,9.468,13.539,1589.5074,64,9.36,303.688842185709,2.32571849668386,,,
ambient,1,10,white birch,b4t1-04,10.5,10.5,329,397.333333333333,5.063333,2.07373285541362,59.54522,113.6359,2.443072,1.149,0.283,0.464,0.48,0.763,1.912,89.8009,6.1,4.42,193.536422413793,0.664055700609225,1.48,0.76471393939259,14.8
ambient,1,10,white birch,b4t1-05,12.2666666666667,12.2666666666667,331,561.333333333333,5.833333,2.10285726302042,67.79409,134.5905,2.317878,0.98,0.214,0.366,0.388,0.602,1.582,78.0759,7.2,3.28,213.322131147541,0.614285714285714,2.12,0.993802184797101,21.2
ambient,1,10,white birch,b4t1-11,18.2666666666667,18.2666666666667,304.666666666667,643,6.506667,2.8073769053598,101.00939,245.677333,2.411746,0.754,0.191,0.499,0.517,0.708,1.462,116.0475,4.7,4.3,232.560120240481,0.938992042440318,2.1,0.90299230918374,21
ambient,1,10,white birch,4b-t1-08,,,,,,,,,,1.147,0.245,0.325,0.335,0.58,1.727,73.9724,4.5,4.17,227.607384615385,0.505666957279861,,,
ambient,1,10,white birch,4b-t1-12,,,,,,,,,,0.778,0.24,0.268,0.276,0.516,1.294,56.0523,5.4,4.11,209.150373134328,0.663239074550129,,,
ambient,2,10,white birch,b5t1-01,16.1666666666667,16.1666666666667,306.666666666667,513.333333333333,5.576667,2.89898368804641,79.27256,199.7015,2.218826,1.058,0.321,0.549,0.571,0.892,1.95,120.6184,7,5.01,219.705646630237,0.843100189035917,1.98,0.901205786181876,19.8
ambient,2,10,white birch,b5t1-03,11.3666666666667,11.3666666666667,320,385,5.333333,2.13125013320314,68.09938,129.062,2.550162,1.106,0.247,0.427,0.44,0.687,1.793,80.5639,7.8,4.23,188.674238875878,0.621157323688969,1.32,0.699618563649476,13.2
ambient,2,10,white birch,b5t1-10,12.2666666666667,12.2666666666667,326,492,5.663333,2.16598011571396,67.48739,132.2531,2.386154,1.036,0.266,0.385,0.398,0.664,1.7,73.6377,5.9,4.21,191.266753246753,0.640926640926641,1.66,0.867897829508526,16.6
ambient,2,10,white birch,5b-t1-08,,,,,,,,,,0.781,0.155,0.43,0.449,0.604,1.385,94.3875,7,3.2,219.505813953488,0.77336747759283,,,
ambient,2,10,white birch,5b-t1-12,,,,,,,,,,1.292,0.25,0.381,0.389,0.639,1.931,78.7108,5.1,4.45,206.590026246719,0.494582043343653,,,
ambient,1,80,white birch,b4t2-03,17.3,17.3,317.333333333333,801.333333333333,5.34,3.23970037453184,78.21069,157.11,1.571814,1.933,1.096,1.702,1.783,2.879,4.812,478.6181,29.2,6.64,281.209224441833,1.48939472322814,2.32,0.825008498424945,23.2
ambient,1,80,white birch,b4t2-09,18.8,18.8,315,941.333333333333,4.823333,3.89771968885416,83.14028,184.0315,1.718421,1.397,0.695,1.466,1.544,2.239,3.636,355.0542,20.3,4.77,242.192496589359,1.60272011453114,2.39,0.986818350550423,23.9
ambient,1,80,white birch,b4t2-12,18.1,18.1,306.666666666667,699,5.176667,3.4964582423401,87.29668,249.5619,2.087293,2.489,1.084,1.744,1.847,2.931,5.42,439.5735,18.2,7.85,252.049025229358,1.17758135797509,2.84,1.12676492099728,28.4
ambient,1,80,white birch,4b-t2-04,,,,,,,,,,1.298,0.473,0.043,0.077,0.55,1.848,208.0508,9.8,5.37,4838.39069767442,0.423728813559322,,,
ambient,1,80,white birch,4b-t2-06,,,,,,,,,,1.55,0.686,1.322,1.398,2.084,3.634,344.4482,18.5,6.42,260.550832072617,1.34451612903226,,,
ambient,2,80,white birch,b5t2-01,16.3333333333333,16.3333333333333,308,585,5.046667,3.23645949561033,78.90683,174.8755,1.531532,1.803,0.52,1.203,1.243,1.763,3.566,244.3747,10.6,5.59,203.137738985869,0.977814753189129,2.69,1.32422464354943,26.9
ambient,2,80,white birch,b5t2-02,15.9,15.9,316.666666666667,692,5.633333,2.82248537411156,82.32463,181.4225,2.409396,2.178,0.51,0.874,0.919,1.429,3.607,195.132,10.2,4.67,223.263157894737,0.656106519742883,3.04,1.36162187647336,30.4
ambient,2,80,white birch,b5t2-11,17.2333333333333,17.2333333333333,305.666666666667,588.333333333333,5,3.44666666666666,85.00484,182.9276,2.346314,2.099,0.586,1.177,1.227,1.813,3.912,211.3469,10.5,5.52,179.564061172472,0.863744640304907,2.68,1.49250355694832,26.8
ambient,2,80,white birch,5b-t2-07,,,,,,,,,,1.668,0.516,1.38,1.454,1.97,3.638,329.5054,11.3,5.22,238.772028985507,1.1810551558753,,,
ambient,2,80,white birch,5b-t2-10,,,,,,,,,,1.925,0.764,1.503,1.572,2.336,4.261,380.3138,13.7,7.39,253.036460412508,1.21350649350649,,,
ambient,1,150,white birch,b4t3-07,20.1666666666667,20.1666666666667,311,932,6.553333,3.07731450037206,88.53408,290.2513044,0.382561,1.716,0.868,1.595,1.706,2.574,4.29,431.1808,11.5,6.25,270.332789968652,1.5,3.93,1.45376371118566,39.3
ambient,1,150,white birch,b4t3-11,19.7,19.7,303.666666666667,710.333333333333,6.4,3.078125,93.91977,258.2399,1.389646,1.551,0.999,1.958,2.065,3.064,4.615,589.8251,24.9,6.36,301.238559754852,1.97549967762734,2.95,0.979290301480897,29.5
ambient,1,150,white birch,b4t3-12,19.5666666666667,19.5666666666667,306,810.666666666667,6.863333,2.85089863287512,97.23227,347.8168,2.116295,2.202,0.493,0.944,0.986,1.479,3.681,166.707,6.8,5.05,176.596398305085,0.6716621253406,3.71,2.10083559778534,37.1
ambient,1,150,white birch,4b-t3-03,,,,,,,,,,1.658,0.863,1.33,1.402,2.265,3.923,371.5566,11.5,7.82,279.365864661654,1.36610373944511,,,
ambient,1,150,white birch,4b-t3-06,,,,,,,,,,1.806,0.664,1.329,1.392,2.056,3.862,382.2094,11.7,6.92,287.591723100075,1.13842746400886,,,
ambient,2,150,white birch,b5t3-08,20.9,20.9,294,683.666666666667,6.5,3.21538461538462,108.9922,529.1793,2.817865,2.745,0.951,2.133,2.245,3.196,5.941,514.8025,20.5,6.59,241.351383028598,1.16429872495446,3.27,1.35487104277854,32.7
ambient,2,150,white birch,b5t3-09,19.3333333333333,19.3333333333333,304.666666666667,733,5.94,3.25476992143658,93.80201,265.3149,1.387931,2.996,0.977,1.964,2.067,3.044,6.04,504.0775,3,8.65,256.658604887984,1.01602136181575,3.28,1.2779622181113,32.8
ambient,2,150,white birch,b5t3-12,19.5666666666667,19.5666666666667,307.333333333333,769.666666666667,6.593333,2.96764423496685,92.65897,258.2399,1.71796,3.205,1.339,2.533,2.683,4.022,7.227,667.9785,20.5,9.35,263.710422424003,1.25491419656786,2.78,1.05418662427009,27.8
ambient,2,150,white birch,5b-t3-05,,,,,,,,,,3.127,0.77,1.77,1.868,2.638,5.765,386.8841,5.5,7.93,218.578587570621,0.843620083146786,,,
ambient,2,150,white birch,5b-t3-11,,,,,,,,,,2.996,1.216,2.197,2.31,3.526,6.522,591.4483,18.5,7.92,269.207237141557,1.17690253671562,,,
ambient,1,220,white birch,b4t4-03,21.1,21.1,294.333333333333,711.666666666667,5.89,3.58234295415959,92.64011,346.50251,0.38448,2.427,1.321,2.737,2.9,4.221,6.648,868.967,26.1,7.02,317.48885641213,1.73918417799753,3.56,1.12129919778311,35.6
ambient,1,220,white birch,b4t4-08,20.5,20.5,289,628.333333333333,5.966667,3.43575399800257,98.71259,440.1237,1.201055,2.188,1.087,2.709,2.894,3.981,6.169,676.5207,18.5,7.84,249.730786267996,1.81946983546618,3.55,1.42153078242839,35.5
ambient,1,220,white birch,b4t4-10,20.5,20.5,300.333333333333,784.666666666667,6.84,2.99707602339181,101.5876,475.6895,1.877297,3.095,0.713,1.078,1.115,1.828,4.923,215.6004,8.7,7.68,200.000371057514,0.590630048465267,4.07,2.0349962244968,40.7
ambient,1,220,white birch,4b-t4-01,,,,,,,,,,2.246,0.757,1.267,1.321,2.078,4.324,294.5045,9.2,7.35,232.442383583268,0.92520035618878,,,
ambient,1,220,white birch,4b-t4-06,,,,,,,,,,2.599,1.167,2.134,2.231,3.398,5.997,542.8162,17.5,6.14,254.365604498594,1.30742593305117,,,
ambient,2,220,white birch,b5t4-03,20.2666666666667,20.2666666666667,301.666666666667,766.333333333333,6.286667,3.22375380573947,95.76657,351.7465,1.499306,2.687,1.154,2.624,3.282,4.436,7.123,750.8543,10.8,6.3,286.148742378049,1.65091179754373,3.79,1.32448598882633,37.9
ambient,2,220,white birch,b5t4-04,18.8333333333333,18.8333333333333,279,441.666666666667,4.963333,3.79449320312244,89.09239,270.5678,2.00984,4.21,1.485,2.759,2.933,4.418,8.628,679.9102,25.2,7.24,246.433562885103,1.04940617577197,3.45,1.39997164331407,34.5
ambient,2,220,white birch,b5t4-06,16.3,16.3,300,513.333333333333,6.04,2.69867549668874,83.28239,208.9569,1.919735,3.225,2.096,2.907,3.041,5.137,8.362,685.0766,32.5,8.96,235.664465084279,1.59286821705426,3.3,1.40029596690356,33
ambient,2,220,white birch,5b-t4-01,,,,,,,,,,3.043,1.265,2.938,3.141,4.406,7.449,665.6053,21.2,7,226.550476514636,1.44791324350969,,,
ambient,2,220,white birch,5b-t4-05,,,,,,,,,,1.983,0.818,1.618,1.716,2.534,4.517,489.7176,12.1,7.28,302.66847960445,1.27786182551689,,,
ambient,1,290,white birch,b4t5-01,20.8,20.8,305.333333333333,846.666666666667,6.216667,3.34584432461961,94.88423,335.7009,1.14076,2.305,2.778,3.892,4.137,6.915,9.22,1205.123,47.9,8.43,309.641058581706,3,3.78,1.22076833651005,37.8
ambient,1,290,white birch,b4t5-05,20.2333333333333,20.2333333333333,294.333333333333,631,5.773333,3.50461913998955,100.5191,419.6245,2.939205,2.102,3.15,3.728,3.911,7.061,9.163,1020.8653,59.2,8.59,273.837258583691,3.35918173168411,3.64,1.32925666099142,36.4
ambient,1,290,white birch,b4t5-10,20.4,20.4,282,559,5.28,3.86363636363636,114.27831,389.63416,2.28776,2.766,2.927,4.313,4.626,7.553,10.319,1238.0595,36.2,9.6,287.052979364711,2.73065798987708,3.54,1.23322182819162,35.4
ambient,1,290,white birch,4b-t5-02,,,,,,,,,,3.803,1.935,2.36,2.482,4.417,8.22,520.1408,19.5,9.72,220.398644067797,1.16145148566921,,,
ambient,1,290,white birch,4b-t5-08,,,,,,,,,,3.047,1.813,2.748,2.875,4.688,7.735,670.2658,27.5,9.84,243.910407569141,1.53856252051198,,,
ambient,2,290,white birch,b5t5-07,17.4333333333333,17.4333333333333,274,364.333333333333,5.186667,3.36118230326591,98.97755,281.9075,1.437461,2.849,1.181,2.168,2.328,3.509,6.358,596.5475,15.5,8.24,275.16028597786,1.23166023166023,3.84,1.39555022860711,38.4
ambient,2,290,white birch,b5t5-09,18.6,18.6,304.666666666667,657.666666666667,5.8,3.20689655172414,92.84107,225.514,2.283315,2.889,2.929,3.905,4.111,7.04,9.929,1204.6047,43.5,8.47,308.477516005122,2.4368293527172,3.75,1.21564775564963,37.5
ambient,2,290,white birch,b5t5-10,19.9666666666667,19.9666666666667,297,623.333333333333,4.99,4.00133600534403,91.53763,329.1717,3.096356,2.394,1.776,3.779,4.019,5.795,8.189,1068.5448,31.6,9.44,282.758613389786,2.42063492063492,3.12,1.10341466263277,31.2
ambient,2,290,white birch,5b-t5-05,,,,,,,,,,3.203,1.314,2.809,3.013,4.327,7.53,695.8684,16.2,9.49,247.728159487362,1.35092101155167,,,
ambient,2,290,white birch,5b-t5-11,,,,,,,,,,3.197,0.993,2.493,2.713,3.706,6.903,641.4826,11.4,8.62,257.31351784998,1.15921176102596,,,
elevated,1,10,yellow birch,f2t1-03,8.266667,13.83333,582.3333,177.6667,3.433333,4.02912563389569,44.20733,100.8193,2.246875,1.137,0.202,0.642,0.647,0.849,1.986,128.2096,6.1,3.64,199.703426791277,0.746701846965699,1.38,0.691024697058567,13.8
elevated,1,10,yellow birch,f2t1-09,8.26666666666667,13.6333333333333,641.333333333333,397.666666666667,5.143333,2.65068066433445,44.91805,87.14094,1.312641,1.454,0.482,1.258,1.277,1.759,3.213,254.9186,12.8,4.63,202.63799682035,1.20976616231087,0.96,0.473751228823632,9.6
elevated,1,10,yellow birch,f2t1-12,11.13333,17.36667,628.6667,413.6667,6.223333,2.79057379703127,57.38609,115.1903,1.774216,1.054,0.154,0.453,0.459,0.613,1.667,96.0202,4.4,3.79,211.965121412804,0.581593927893738,1.45,0.684074809258885,14.5
elevated,1,10,yellow birch,2f-t1-02,,,,,,,,,,0.751,0.216,0.438,0.443,0.659,1.41,103.5642,13.6,3.18,236.447945205479,0.877496671105193,,,
elevated,1,10,yellow birch,2f-t1-05,,,,,,,,,,0.815,0.174,0.549,0.553,0.727,1.542,104.1115,10.5,2.83,189.638433515483,0.892024539877301,,,
elevated,2,10,yellow birch,f3t1-02,15.2,21.13333,645,691,5.796667,3.6457726483167,63.0143104,131.509931,1.48773,0.589,0.147,0.422,0.433,0.58,1.169,91.871,2.8,2.3,217.703791469194,0.98471986417657,1.74,0.799251123858454,17.4
elevated,2,10,yellow birch,f3t1-04,7.466667,12.43333,610.6667,201.3333,3.933333,3.16101636957766,40.737813,86.994883,1.663824,0.786,0.247,0.446,0.457,0.704,1.49,94.0994,5.3,2.31,210.985201793722,0.895674300254453,1.26,0.597198281816887,12.6
elevated,2,10,yellow birch,f3t1-05,9.5,15.3666666666667,614.666666666667,319,4.426667,3.47138528076919,48.553175,107.693005,1.582813,0.951,0.167,0.673,0.68,0.847,1.798,126.0853,11,3.44,187.348142644874,0.890641430073607,1.24,0.66186938524951,12.4
elevated,2,10,yellow birch,3f-t1-06,,,,,,,,,,0.825,0.252,0.577,0.58,0.832,1.657,114.551,6.9,3.11,198.528596187175,1.00848484848485,,,
elevated,2,10,yellow birch,3f-t1-07,,,,,,,,,,0.812,0.088,0.784,0.793,0.881,1.693,142.2343,14.6,2.63,181.421301020408,1.08497536945813,,,
elevated,1,80,yellow birch,f2t2-05,16.1,24.8333333333333,602,496.333333333333,5.423333,4.57897999870805,88.81451,167.3432,1.010589,1.828,0.601,1.27,1.291,1.892,3.72,278.5738,19.5,3.69,219.349448818898,1.03501094091904,1.84,0.83884414112167,18.4
elevated,1,80,yellow birch,f2t2-09,18.9666666666667,28.6,613.666666666667,764,5.336667,5.3591501961805,91.3306,223.0629,1.303503,1.857,0.702,1.419,1.451,2.153,4.01,350.3019,13.4,5.38,246.86532769556,1.15939687668282,2.61,1.05725661208232,26.1
elevated,1,80,yellow birch,f2t2-12,13.5,20.5666666666667,629,533,5.856667,3.51166741538604,81.50371,132.3141,1.401086,1.491,0.452,0.897,0.913,1.365,2.856,182.895,14,3.42,203.896321070234,0.915492957746479,2.07,1.01522184860166,20.7
elevated,1,80,yellow birch,2f-t2-08,,,,,,,,,,1.277,0.271,0.617,0.63,0.901,2.178,140.9735,8.3,3.48,228.482171799028,0.705559906029757,,,
elevated,1,80,yellow birch,2f-t2-10,,,,,,,,,,1.519,0.393,0.96,0.977,1.37,2.889,207.5567,12.5,3.75,216.204895833333,0.901909150757077,,,
elevated,2,80,yellow birch,f3t2-04,14.0666666666667,23.1666666666667,626.666666666667,665.666666666667,6.626667,3.49597567927688,78.873684,167.329308,1.182851,1.451,0.567,1.373,1.399,1.966,3.417,313.2893,24.2,3.35,228.1786598689,1.35492763611303,2,0.876506155811897,20
elevated,2,80,yellow birch,f3t2-06,12.8333333333333,21.8333333333333,584,318,4.496667,4.85544812042637,76.086108,160.914419,1.677921,1.432,0.496,0.923,0.938,1.434,2.866,206.2791,16.6,4.14,223.487648970748,1.00139664804469,2.06,0.921751161411893,20.6
